#"Progress (%)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
10.0%,1633.0498046875,55.20577479828886,0.30085906306723326,0
20.0%,1739.912109375,112.13716199321819,0.30085906306723326,246
30.0%,1871.6689453125,142.73635202007415,0.30085906306723326,272
40.0%,1959.1865234375,161.16030960236446,0.30085906306723326,296
50.0%,2019.8974609375,175.91483722473774,0.30085906306723326,318
60.0%,2017.037109375,230.17701110012615,0.30085906306723326,333
70.0%,2153.5849609375,233.45742356917194,0.30085906306723326,343
80.0%,2168.5595703125,258.5376595628256,0.30085906306723326,351
90.0%,2167.5146484375,259.67101195515943,0.30085906306723326,357
100.0%,2214.7666015625,262.8956322918937,0.30085906306723326,362
110.0%,2169.205078125,278.1548683146656,0.30085906306723326,364
120.0%,2202.0087890625,294.91818278640267,0.30085906306723326,365
130.0%,2228.6884765625,300.0542297372821,0.30085906306723326,359
140.0%,2208.0126953125,312.68038016497,0.30085906306723326,362
150.0%,2249.4482421875,313.1005773607368,0.30085906306723326,365
160.0%,2282.1650390625,299.4158301900073,0.30085906306723326,367
170.0%,2236.978515625,324.64264137123035,0.30085906306723326,370
180.0%,2276.72265625,316.31162084971123,0.30085906306723326,372
190.0%,2210.8271484375,322.60959149154354,0.30085906306723326,374
200.0%,2184.5283203125,313.5290269899419,0.30085906306723326,375
210.0%,2173.8994140625,303.5815646545898,0.30085906306723326,377
220.0%,2229.1552734375,299.44975584379733,0.30085906306723326,378
230.0%,2273.8662109375,301.0348270038551,0.30085906306723326,379
240.0%,2254.642578125,295.8415319942561,0.30085906306723326,381
250.0%,2228.521484375,304.88723961631996,0.30085906306723326,382
260.0%,2251.65625,322.9025499006161,0.30085906306723326,383
270.0%,2276.7216796875,333.16438632906636,0.30085906306723326,383
280.0%,2208.619140625,316.0832799488571,0.30085906306723326,384
290.0%,2301.2548828125,300.70788646731717,0.30085906306723326,385
300.0%,2262.224609375,331.20481698037827,0.30085906306723326,386
310.0%,2207.92578125,321.8247844624557,0.30085906306723326,386
320.0%,2255.1611328125,304.5476154201439,0.30085906306723326,387
330.0%,2139.90625,346.7603255324187,0.30085906306723326,388
340.0%,2214.4443359375,299.4996644392725,0.30085906306723326,388
350.0%,2181.7392578125,302.0959653681111,0.30085906306723326,388
360.0%,2191.53515625,284.61425129035894,0.30085906306723326,388
370.0%,2249.228515625,273.4770531921872,0.30085906306723326,388
380.0%,2225.0849609375,309.55013592227203,0.30085906306723326,388
390.0%,2225.935546875,284.2682702393402,0.30085906306723326,389
