#"Progress (%)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
10.0%,1581.6572265625,55.366910226680126,0.30085906306723326,0
20.0%,1666.9423828125,100.42660160826507,0.30085906306723326,271
30.0%,1727.9404296875,129.21716900009204,0.30085906306723326,288
40.0%,1819.869140625,162.8748847540177,0.30085906306723326,310
50.0%,1889.44921875,176.84155699879352,0.30085906306723326,327
60.0%,1909.5537109375,209.42925901597832,0.30085906306723326,337
70.0%,1963.171875,212.85812146133293,0.30085906306723326,344
80.0%,1949.2490234375,231.53155960988943,0.30085906306723326,348
90.0%,1935.9521484375,265.9590526725795,0.30085906306723326,352
100.0%,1966.7109375,239.27525841226802,0.30085906306723326,356
110.0%,1991.15234375,266.6882709206843,0.30085906306723326,358
120.0%,2033.5166015625,275.34039703682845,0.30085906306723326,361
130.0%,2030.2236328125,290.52242257494777,0.30085906306723326,363
140.0%,1976.947265625,293.3063580567824,0.30085906306723326,365
150.0%,2037.0087890625,294.9082155366814,0.30085906306723326,366
160.0%,1991.67578125,300.37790749434055,0.30085906306723326,368
170.0%,2038.48046875,288.0061851757,0.30085906306723326,370
180.0%,2014.2294921875,325.29525290022514,0.30085906306723326,372
190.0%,2063.2451171875,298.966211957233,0.30085906306723326,373
200.0%,2090.3671875,283.69179009726594,0.30085906306723326,374
210.0%,2055.5537109375,323.952597293938,0.30085906306723326,374
220.0%,2049.9404296875,310.3216528069436,0.30085906306723326,375
230.0%,2047.5224609375,310.93112112411336,0.30085906306723326,376
240.0%,2084.4267578125,301.8916656045774,0.30085906306723326,376
250.0%,2093.51953125,283.8011814286705,0.30085906306723326,377
260.0%,2048.4140625,306.33563550541754,0.30085906306723326,377
270.0%,2041.6259765625,296.3834532921724,0.30085906306723326,377
280.0%,1978.97265625,286.0066674980545,0.30085906306723326,377
290.0%,1974.525390625,300.029163107175,0.30085906306723326,378
300.0%,2064.3271484375,260.79534702212635,0.30085906306723326,378
310.0%,2038.3291015625,288.9199527807755,0.30085906306723326,378
320.0%,2048.3037109375,313.75594505692817,0.30085906306723326,379
330.0%,2030.181640625,320.47507195710256,0.30085906306723326,379
340.0%,2066.138671875,305.34547182684895,0.30085906306723326,379
350.0%,1996.451171875,327.20820564229007,0.30085906306723326,379
360.0%,1959.58984375,318.63409116032244,0.30085906306723326,380
370.0%,1959.2021484375,297.5975967840525,0.30085906306723326,380
380.0%,2010.5771484375,284.1361595945462,0.30085906306723326,380
390.0%,1990.125,299.97266047905197,0.30085906306723326,380
400.0%,1966.412109375,291.69967978160264,0.30085906306723326,381
410.0%,2004.8974609375,282.62964512974474,0.30085906306723326,381
420.0%,2026.0390625,252.77985862666773,0.30085906306723326,381
430.0%,2042.037109375,284.0038316657676,0.30085906306723326,381
440.0%,1972.7265625,312.0026695771075,0.30085906306723326,381
450.0%,1970.509765625,300.71999385943053,0.30085906306723326,381
460.0%,1952.3525390625,313.56448155820715,0.30085906306723326,381
470.0%,2016.1416015625,288.7596503118084,0.30085906306723326,381
480.0%,2065.77734375,249.7025076518134,0.30085906306723326,382
490.0%,1972.5751953125,290.30651105393054,0.30085906306723326,382
500.0%,1987.09765625,302.85277123178616,0.30085906306723326,382
510.0%,2006.3232421875,282.59954356707277,0.30085906306723326,382
520.0%,1970.5390625,275.4300911540852,0.30085906306723326,383
530.0%,1994.9052734375,276.1144167685587,0.30085906306723326,383
540.0%,1985.8408203125,283.69232025271214,0.30085906306723326,383
550.0%,1946.349609375,315.82568199772885,0.30085906306723326,383
560.0%,1968.75390625,303.8605434929138,0.30085906306723326,384
570.0%,1984.396484375,306.78364409017325,0.30085906306723326,384
580.0%,2012.0576171875,311.01020834611745,0.30085906306723326,384
590.0%,2088.4443359375,297.5547261602027,0.30085906306723326,384
600.0%,2081.23828125,288.8281127149694,0.30085906306723326,384
610.0%,1986.4521484375,343.1705677855408,0.30085906306723326,384
620.0%,2115.134765625,291.4523689177199,0.30085906306723326,384
630.0%,2076.93359375,305.1826302512064,0.30085906306723326,385
640.0%,2104.25,293.9131495693169,0.30085906306723326,385
650.0%,2016.0732421875,306.5221507691444,0.30085906306723326,385
660.0%,2013.0322265625,316.1423628205685,0.30085906306723326,385
670.0%,2084.4501953125,295.7780964466605,0.30085906306723326,385
680.0%,2024.6162109375,339.6297095678761,0.30085906306723326,385
690.0%,2069.4873046875,317.21789914288377,0.30085906306723326,386
700.0%,2032.34765625,315.1636807382512,0.30085906306723326,386
710.0%,2051.5498046875,306.09761709922657,0.30085906306723326,386
720.0%,2004.1171875,297.13418566350896,0.30085906306723326,386
730.0%,1988.46484375,306.86097812655606,0.30085906306723326,386
740.0%,2019.880859375,301.2044812735556,0.30085906306723326,386
750.0%,1987.6953125,316.2056681968744,0.30085906306723326,386
760.0%,2077.5537109375,275.5493979865132,0.30085906306723326,386
770.0%,2018.005859375,302.4958320986362,0.30085906306723326,386
780.0%,2042.314453125,305.81278253248547,0.30085906306723326,386
790.0%,2062.4833984375,284.3200608607187,0.30085906306723326,387
800.0%,2029.75,309.4043132964864,0.30085906306723326,387
810.0%,1996.19921875,319.06147667685536,0.30085906306723326,387
820.0%,2023.9755859375,313.88077341870263,0.30085906306723326,387
830.0%,2018.384765625,291.70485453011054,0.30085906306723326,387
840.0%,2032.408203125,291.28574451113707,0.30085906306723326,387
850.0%,2015.5576171875,271.6068904916206,0.30085906306723326,387
860.0%,2037.10546875,268.4857183107339,0.30085906306723326,387
870.0%,1977.6875,292.60524284311714,0.30085906306723326,387
880.0%,2045.046875,280.4459415531678,0.30085906306723326,387
890.0%,1983.443359375,315.0087658009055,0.30085906306723326,387
900.0%,2004.7353515625,300.2625154193658,0.30085906306723326,387
910.0%,1971.3447265625,313.89233593285684,0.30085906306723326,387
920.0%,2004.2216796875,316.62496546963956,0.30085906306723326,387
930.0%,1977.0869140625,321.20633629558915,0.30085906306723326,388
940.0%,2068.0,265.6583013845729,0.30085906306723326,388
950.0%,1987.4765625,283.88355208220185,0.30085906306723326,388
960.0%,2071.6904296875,261.7295717649746,0.30085906306723326,388
970.0%,2039.3603515625,273.6131610433853,0.30085906306723326,388
980.0%,2033.0,308.2322334301716,0.30085906306723326,388
990.0%,2028.1484375,318.77143548973305,0.30085906306723326,388
1000.0%,2042.23828125,312.78846649566384,0.30085906306723326,388
1010.0%,2032.39453125,304.35144699172,0.30085906306723326,388
1020.0%,2023.1123046875,348.0532596362777,0.30085906306723326,388
1030.0%,2087.56640625,321.825114932006,0.30085906306723326,388
1040.0%,2086.1025390625,321.8443467925979,0.30085906306723326,388
1050.0%,2079.6064453125,327.08385615194135,0.30085906306723326,388
1060.0%,2072.6494140625,302.4099543934501,0.30085906306723326,388
1070.0%,2001.9833984375,313.6758126278776,0.30085906306723326,388
1080.0%,2043.654296875,306.78007341895443,0.30085906306723326,388
1090.0%,1993.33203125,315.4421191656996,0.30085906306723326,389
1100.0%,2053.0869140625,291.70076742888733,0.30085906306723326,389
1110.0%,2013.3447265625,315.17796238594275,0.30085906306723326,389
1120.0%,2074.8818359375,292.41307158038006,0.30085906306723326,389
1130.0%,2041.6396484375,296.6946139667742,0.30085906306723326,389
1140.0%,2049.3994140625,284.4740219519761,0.30085906306723326,389
1150.0%,2044.5859375,321.67433621763973,0.30085906306723326,389
1160.0%,2017.01953125,347.6225908948879,0.30085906306723326,389
1170.0%,2164.35546875,293.2993263576368,0.30085906306723326,389
1180.0%,2034.716796875,335.1501911702022,0.30085906306723326,389
1190.0%,2042.0556640625,338.01770724744136,0.30085906306723326,389
1200.0%,2006.462890625,358.1122968015355,0.30085906306723326,389
